ID,Item Number,Item Name,UNIT,CATEGORY,REORDERQTY,Average Unit Cost,Regular Price,WHOLESALE,TAXRATE,TAX GROUP,LOCATION,qty,Item Type,Item Description,shelf,supplier
4229,9217,wintouch K701 orange tablet,PC,ELECTRONICS,0,4838,6500,0,16,B,Main Shop,100,inventory,,,
4230,9243,dell E7240 i7-4/8/256,PC,ELECTRONICS,0,15216,25000,0,16,B,Main Shop,100,inventory,dell E7240 i7-4/8/256,,
4231,9261,T103HAF-1K LCD MODULE,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,T103HAF-1K LCD MODULE,,
4232,9263,HP 240 G7 CD CASING,PC,ELECTRONICS,0,3500,0,0,16,B,Main Shop,100,inventory,HP 240 G7 CD CASING,,
4233,9114,HP 15 AU KEYBOARD US,PC,ELECTRONICS,0,840,1500,0,16,B,Main Shop,100,inventory,,,
4234,1115,AIRTEL MODEM,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,,,
4235,9171,4GB ADVANCE FLASH DISK,PC,ELECTRONICS,0,250,0,0,16,B,Main Shop,100,inventory,4GB ADVANCE FLASH DISKS,,
4236,9207,96 Watts  Type C Adapter,PC,ELECTRONICS,0,7000,0,0,16,B,Main Shop,100,inventory,96 watts Type C adapter,,
4237,9218,WINTOUCH M13 PINK TABLET,PC,ELECTRONICS,0,0,10000,0,16,B,Main Shop,100,inventory,,,
4238,9244,HP Probook x360 11 g2 core M-7/,PC,ELECTRONICS,0,16000,18000,0,16,B,Main Shop,100,inventory,HP Probook x360 11 g2 core M-7/8/128,,
4239,933,DELL 19V 1.58A,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,,,
4240,9269,HP P22VA G4 21.5'',PC,ELECTRONICS,0,18560,0,0,16,B,Main Shop,100,inventory,HP P22VA G4 FHD 21.5'' MONITOR,,
4241,9296,WINTOUCH K718 TABLET BLUE,PC,ELECTRONICS,0,5882.72233,10000,0,16,B,Main Shop,100,inventory,quad core /1gb / 16gb / 7 inches / 5.0 / 3G CALL,,
4242,8986,DELL  LATITUDE 5420 CI7,PC,ELECTRONICS,0,181250,0,0,16,B,Main Shop,100,inventory,DELL  LATITUDE 5420 CI7 16GB 512 14'',,
4243,8991,1TB SSD EXTERNAL,PC,ELECTRONICS,0,13636.5,18000,0,16,B,Main Shop,100,inventory,1TB SSD EXTERNAL,,
4244,9037,HP 14-AE1023DX T+SCREEN,PC,ELECTRONICS,0,12283.744,18000,0,16,B,Main Shop,100,inventory,,,
4245,9055,DELL LATITUDE 7400 CI7 LAPTOP,PC,ELECTRONICS,0,29550,50000,0,16,B,Main Shop,100,inventory,CORE I7 8TH /8GB RAM / 256 SSD,,
4246,9077,HP S1500 WIRELESS MOUSE,PC,ELECTRONICS,0,716,1500,0,16,B,Main Shop,100,inventory,,,
4247,9115,hp 830 g5 keyboard f,PC,ELECTRONICS,0,994,1500,0,16,B,Main Shop,100,inventory,,,
4248,9172,TT03XL BATTERY,PC,ELECTRONICS,0,2157.5,3500,0,16,B,Main Shop,100,inventory,TT03XL BATTERY,,
4249,9219,WINTOUCH M13 ORANGE TABLET,PC,ELECTRONICS,0,0,10000,0,16,B,Main Shop,100,inventory,,,
4250,9245,HP 840 G5 i7-8/8/256,PC,ELECTRONICS,0,29345.58885,40000,0,16,B,Main Shop,100,inventory,core i7  8th gen /8gb ram /256ssd,,
4251,8992,HP 11-G2 PORT,PC,ELECTRONICS,0,800,0,0,16,B,Main Shop,100,inventory,HP 11-G2 PORT,,
4252,9039,YOGA C930-13IKB 13.9 T+SCREEN,PC,ELECTRONICS,0,15960,20000,0,16,B,Main Shop,100,inventory,,,
4253,9056,DELL LATITUDE 7300 CI5 LAPTOP,PC,ELECTRONICS,0,29550,35000,0,16,B,Main Shop,100,inventory,CORE I5 8TH / 8GB RAM 256 SSD,,
4254,9078,HP PAVILLION 15 EG CI7 LAPTOP,PC,ELECTRONICS,0,74910,95000,0,16,B,Main Shop,100,inventory,CORE I7 11 TH / 16 GB RAM /512 SSD/ 15.6 FULL HD TOUCHSCREEN WINDOWS 10,,
4255,9116,lenovo x1 carbon keybd 2018/201,PC,ELECTRONICS,0,6135,8500,0,16,B,Main Shop,100,inventory,,,
4256,9173,LEN 120S CHARGING PORT,PC,ELECTRONICS,0,700,0,0,16,B,Main Shop,100,inventory,LENOVO IDEAPAD 120S CHARGING PORT,,
4257,9220,WINTOUCH K81 BLACK TABLET,PC,ELECTRONICS,0,0,9000,0,16,B,Main Shop,100,inventory,,,
4258,9246,Hp 820 g3 i5-6/8/256,PC,ELECTRONICS,0,17500,28000,0,16,B,Main Shop,100,inventory,Hp 820 g3 i5 6th -6 gen /8gb ram /256 ssd,,
4259,8993,DELL E5570 HINGES,PC,ELECTRONICS,0,1000,0,0,16,B,Main Shop,100,inventory,DELL E5570 HINGES,,
